"Accepted","Synonym"
"Arctocebus_aureus","Arctocebus_ruficeps"
"Arctocebus_calabarensis","Arctocebus_calabarensis"
"Arctocebus_calabarensis","Perodicticus_calabarensis"
"Arctocephalus_pusillus","Arctocephalus_pusillus"
"Arctocephalus_pusillus","Arctocephalus_antarcticus"
"Arctocephalus_pusillus","Phoca_antarctica"
"Arctocephalus_pusillus","Phoca_pusilla"
"Arctogalidia_trivirgata","Arctogalidia_trivirgata"
"Arctogalidia_trivirgata","Arctogale_trivirgata"
"Arctogalidia_trivirgata","Paguma_trivirgata"
"Arctogalidia_trivirgata","Paradoxurus_trivirgatus"
"Arctonyx_collaris","Arctonyx_collaris"
"Arctonyx_collaris","Arctonyx_annaeus"
"Arctonyx_collaris","Arctonyx_dictator"
"Ardops_nichollsi","Ardops_nichollsi"
