"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","p","c","o","f","fuzzy_score"
"Allenopithecus_nigroviridis","Allenopithecus nigroviridis","1 - exact_fullsci_w_ssp","Allenopithecus nigroviridis",NA,NA,NA,"Chordata","Mammalia","Primates","Cercopithecidae",NA
"Allochrocebus_lhoesti","Allochrocebus lhoesti","1 - exact_fullsci_w_ssp","Allochrocebus lhoesti",NA,NA,NA,"Chordata","Mammalia","Primates","Cercopithecidae",NA
"Allochrocebus_preussi","Allochrocebus preussi","1 - exact_fullsci_w_ssp","Allochrocebus preussi",NA,NA,NA,"Chordata","Mammalia","Primates","Cercopithecidae",NA
"Allochrocebus_solatus","Allochrocebus solatus","1 - exact_fullsci_w_ssp","Allochrocebus solatus",NA,NA,NA,"Chordata","Mammalia","Primates","Cercopithecidae",NA
"Allocricetulus_curtatus","Allocricetulus curtatus","1 - exact_fullsci_w_ssp","Allocricetulus curtatus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Allocricetulus_eversmanni","Allocricetulus eversmanni","1 - exact_fullsci_w_ssp","Allocricetulus eversmanni",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alouatta_belzebul","Alouatta belzebul","1 - exact_fullsci_w_ssp","Alouatta belzebul",NA,NA,NA,"Chordata","Mammalia","Primates","Atelidae",NA
"Alouatta_caraya","Alouatta caraya","1 - exact_fullsci_w_ssp","Alouatta caraya",NA,NA,NA,"Chordata","Mammalia","Primates","Atelidae",NA
"Alouatta_discolor","Alouatta discolor","1 - exact_fullsci_w_ssp","Alouatta discolor",NA,NA,NA,"Chordata","Mammalia","Primates","Atelidae",NA
"Alouatta_guariba","Alouatta guariba","1 - exact_fullsci_w_ssp","Alouatta guariba",NA,NA,NA,"Chordata","Mammalia","Primates","Atelidae",NA
"Alouatta_macconnelli","Alouatta macconnelli","1 - exact_fullsci_w_ssp","Alouatta macconnelli",NA,NA,NA,"Chordata","Mammalia","Primates","Atelidae",NA
"Alouatta_palliata","Alouatta palliata","1 - exact_fullsci_w_ssp","Alouatta palliata",NA,NA,NA,"Chordata","Mammalia","Primates","Atelidae",NA
"Alouatta_seniculus","Alouatta seniculus","1 - exact_fullsci_w_ssp","Alouatta seniculus",NA,NA,NA,"Chordata","Mammalia","Primates","Atelidae",NA
"Alticola_macrotis","Alticola macrotis","1 - exact_fullsci_w_ssp","Alticola macrotis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alticola_olchonensis","Alticola olchonensis","1 - exact_fullsci_w_ssp","Alticola olchonensis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alticola_stoliczkanus","Alticola stoliczkanus","1 - exact_fullsci_w_ssp","Alticola stoliczkanus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alticola_strelzovi","Alticola strelzovi","1 - exact_fullsci_w_ssp","Alticola strelzovi",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Alticola_tuvinicus","Alticola tuvinicus","1 - exact_fullsci_w_ssp","Alticola tuvinicus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Amblysomus_corriae","Amblysomus corriae","1 - exact_fullsci_w_ssp","Amblysomus corriae",NA,NA,NA,"Chordata","Mammalia","NA","Chrysochloridae",NA
"Amblysomus_hottentotus","Amblysomus hottentotus","1 - exact_fullsci_w_ssp","Amblysomus hottentotus",NA,NA,NA,"Chordata","Mammalia","NA","Chrysochloridae",NA
"Amblysomus_marleyi","Amblysomus marleyi","1 - exact_fullsci_w_ssp","Amblysomus marleyi",NA,NA,NA,"Chordata","Mammalia","NA","Chrysochloridae",NA
"Amblysomus_robustus","Amblysomus robustus","1 - exact_fullsci_w_ssp","Amblysomus robustus",NA,NA,NA,"Chordata","Mammalia","NA","Chrysochloridae",NA
"Amblysomus_septentrionalis","Amblysomus septentrionalis","1 - exact_fullsci_w_ssp","Amblysomus septentrionalis",NA,NA,NA,"Chordata","Mammalia","NA","Chrysochloridae",NA
"Ametrida_centurio","Ametrida centurio","1 - exact_fullsci_w_ssp","Ametrida centurio",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Phyllostomidae",NA
"Ammospermophilus_harrisii","Ammospermophilus harrisii","1 - exact_fullsci_w_ssp","Ammospermophilus harrisii",NA,NA,NA,"Chordata","Mammalia","Rodentia","Sciuridae",NA
"Ammotragus_lervia","Ammotragus lervia","1 - exact_fullsci_w_ssp","Ammotragus lervia",NA,NA,NA,"Chordata","Mammalia","Artiodactyla","Bovidae",NA
"Amphinectomys_savamis","Amphinectomys savamis","1 - exact_fullsci_w_ssp","Amphinectomys savamis",NA,NA,NA,"Chordata","Mammalia","Rodentia","Cricetidae",NA
"Anathana_ellioti","Anathana ellioti","1 - exact_fullsci_w_ssp","Anathana ellioti",NA,NA,NA,"Chordata","Mammalia","Scandentia","Tupaiidae",NA
"Anomalurus_beecrofti","Anomalurus beecrofti","1 - exact_fullsci_w_ssp","Anomalurus beecrofti",NA,NA,NA,"Chordata","Mammalia","Rodentia","Anomaluridae",NA
"Anomalurus_derbianus","Anomalurus derbianus","1 - exact_fullsci_w_ssp","Anomalurus derbianus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Anomaluridae",NA
"Anomalurus_pelii","Anomalurus pelii","1 - exact_fullsci_w_ssp","Anomalurus pelii",NA,NA,NA,"Chordata","Mammalia","Rodentia","Anomaluridae",NA
"Anomalurus_pusillus","Anomalurus pusillus","1 - exact_fullsci_w_ssp","Anomalurus pusillus",NA,NA,NA,"Chordata","Mammalia","Rodentia","Anomaluridae",NA
"Anoura_caudifer","Anoura caudifer","1 - exact_fullsci_w_ssp","Anoura caudifer",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Phyllostomidae",NA
"Anoura_cultrata","Anoura cultrata","1 - exact_fullsci_w_ssp","Anoura cultrata",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Phyllostomidae",NA
"Anoura_geoffroyi","Anoura geoffroyi","1 - exact_fullsci_w_ssp","Anoura geoffroyi",NA,NA,NA,"Chordata","Mammalia","Chiroptera","Phyllostomidae",NA
"Anourosorex_squamipes","Anourosorex squamipes","1 - exact_fullsci_w_ssp","Anourosorex squamipes",NA,NA,NA,"Chordata","Mammalia","Eulipotyphla","Soricidae",NA
"Anourosorex_yamashinai","Anourosorex yamashinai","1 - exact_fullsci_w_ssp","Anourosorex yamashinai",NA,NA,NA,"Chordata","Mammalia","Eulipotyphla","Soricidae",NA
"Antechinomys_laniger","Antechinomys laniger","1 - exact_fullsci_w_ssp","Antechinomys laniger",NA,NA,NA,"Chordata","Mammalia","Dasyuromorphia","Dasyuridae",NA
"Antechinus_agilis","Antechinus agilis","1 - exact_fullsci_w_ssp","Antechinus agilis",NA,NA,NA,"Chordata","Mammalia","Dasyuromorphia","Dasyuridae",NA
